Title,Year,Score,Description,Director,Screenplay,Type,Revenue
"Monsters, Inc.",2001,78,"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",Pete Docter,"Andrew Stanton, Daniel Gerson","Animation, Comedy, Family","579,700,000.00"
Elemental,2023,76,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",Peter Sohn,"Brenda Hsueh, Kat Likkel, John Hoberg","Animation, Comedy, Family, Fantasy, Romance","496,000,000.00"
Scary Movie,2000,64,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",Keenen Ivory Wayans,"Aaron Seltzer, Buddy Johnson, Jason Friedberg, Shawn Wayans, Marlon Wayans, Phil Beauman",Comedy,"278,019,771.00"
The Conjuring,2013,75,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",James Wan,"Carey Hayes, Chad Hayes","Horror, Thriller","320,415,166.00"
The Union,2024,63,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,Julian Farino,,"Action, Comedy",
The Lord of the Rings: The Return of the King,2003,85,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",Peter Jackson,"Peter Jackson, Fran Walsh, Philippa Boyens","Adventure, Fantasy, Action","1,118,888,979.00"
Abigail,2024,68,"A group of criminals kidnap a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with no normal little girl.","Matt Bettinelli-Olpin, Tyler Gillett","Stephen Shields, Guy Busick","Horror, Thriller","42,241,257.00"
The Avengers,2012,77,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Joss Whedon,Joss Whedon,"Science Fiction, Action, Adventure","1,518,815,515.00"
"Miraculous World, London: At the Edge of Time",2024,71,"Marinette, now Chronobug, and Bunnyx must save the future by resolving the mystery of who dicovered Marinette's identity as Ladybug, when, and how they stole her Miraculous. Throughout the adventure, they learn that the Butterfly Miraculous has a new holder, the one who unraveled the ultimate secret. Ladybug's only hope is to defeat her opponent to prevent the end of Ladybug.",Thomas Astruc,,"Animation, Adventure, Action, Fantasy",
HAIKYU!! The Dumpster Battle,2024,70,"Shoyo Hinata joins Karasuno High's volleyball club to be like his idol, a former Karasuno player known as the 'Little Giant'. But Hinata soon learns that he must team up with his middle school nemesis, Tobio Kageyama. Their clashing styles form a surprising weapon, but can their newfound teamwork defeat their rival Nekoma High in the highly anticipated 'Dumpster Battle', the long awaited ultimate showdown between two opposing underdog teams?",Susumu Mitsunaka,Susumu Mitsunaka,"Animation, Drama","89,070,263.00"
Sonic the Hedgehog 2,2022,75,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",Jeff Fowler,"Josh Miller, Pat Casey, John Whittington","Action, Adventure, Family, Comedy","405,421,518.00"
Harry Potter and the Goblet of Fire,2005,78,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",Mike Newell,Steve Kloves,"Adventure, Fantasy","895,921,036.00"
Oppenheimer,2023,81,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,Christopher Nolan,,"Drama, History","952,000,000.00"
The First Omen,2024,69,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",Arkasha Stevenson,"Arkasha Stevenson, Tim Smith, Keith Thomas",Horror,"53,845,880.00"
